id,type,fpAreas,Longitude,Latitude,geometry,Occupancy,YearBuilt,NFloors
110,Building,151,-65.87807639002412,18.431492722609374,"POLYGON ((-65.8781311 18.4315517, -65.8781465 18.4314508, -65.8780217 18.4314337, -65.8780063 18.4315347, -65.8781311 18.4315517))",,,
111,Building,93,-65.87810176018259,18.431377928498485,"POLYGON ((-65.8781432 18.431426, -65.8781603 18.4313502, -65.8780603 18.4313299, -65.8780432 18.4314056, -65.8781432 18.431426))",,,
112,Building,416,-65.87798020048521,18.430909999884044,"POLYGON ((-65.877978 18.4311062, -65.8780724 18.4307344, -65.8779824 18.4307138, -65.877888 18.4310856, -65.877978 18.4311062))",,,
113,Building,453,-65.8777492491474,18.431277600068118,"POLYGON ((-65.8779499 18.4313636, -65.8779694 18.4312758, -65.8775486 18.4311916, -65.8775291 18.4312794, -65.8779499 18.4313636))",,,
114,Building,324,-65.87744365033667,18.431128499879158,"POLYGON ((-65.8774525 18.4312957, -65.8775181 18.4309767, -65.8774348 18.4309613, -65.8773692 18.4312803, -65.8774525 18.4312957))",Other,1960.0,1.0
115,Building,349,-65.87752915225738,18.43079797985265,"POLYGON ((-65.877552 18.4309483, -65.877608 18.4306658, -65.8775063 18.4306477, -65.8774503 18.4309301, -65.877552 18.4309483))",Other,1975.0,2.0
116,Building,863,-65.8780873507119,18.430428599816914,"POLYGON ((-65.8781034 18.4306785, -65.8782204 18.4302124, -65.8780713 18.4301787, -65.8779543 18.4306448, -65.8781034 18.4306785))",,,
117,Building,656,-65.877810906354,18.430502390671126,"POLYGON ((-65.877766 18.4307507, -65.8777985 18.4305826, -65.8778459 18.4305909, -65.877871 18.4304612, -65.8779607 18.4304769, -65.8779818 18.430368, -65.8777637 18.4303301, -65.877685 18.4307366, -65.877766 18.4307507))",Other,1960.0,1.0
118,Building,126,-65.87992735651189,18.430478588074042,"POLYGON ((-65.8799943 18.4305287, -65.8800127 18.4304606, -65.8798572 18.4304297, -65.8798427 18.4304953, -65.8799943 18.4305287))",,,
119,Building,183,-65.87985982058186,18.43078445455629,"POLYGON ((-65.8799193 18.4308525, -65.8799469 18.4307531, -65.8798004 18.4307164, -65.8797727 18.4308158, -65.8799193 18.4308525))",,,
120,Building,145,-65.87989005820766,18.43066607527236,"POLYGON ((-65.8799497 18.4307233, -65.8799698 18.4306387, -65.8798305 18.4306088, -65.8798103 18.4306935, -65.8799497 18.4307233))",,,
121,Building,200,-65.87989947131503,18.430561204083432,"POLYGON ((-65.8799743 18.4306254, -65.8799943 18.4305287, -65.8798247 18.430497, -65.8798046 18.4305937, -65.8799743 18.4306254))",,,
122,Building,126,-65.87963439576512,18.430585175574954,"POLYGON ((-65.879702 18.4306333, -65.8797158 18.4305635, -65.8795667 18.4305371, -65.879553 18.4306068, -65.879702 18.4306333))",,,
123,Building,156,-65.87966704994523,18.430469849997632,"POLYGON ((-65.8797256 18.430529, -65.8797434 18.4304333, -65.8796085 18.4304107, -65.8795907 18.4305064, -65.8797256 18.430529))",,,
124,Building,167,-65.8796174378453,18.430682221470093,"POLYGON ((-65.8796799 18.4307435, -65.8797003 18.4306493, -65.879555 18.4306209, -65.8795346 18.4307152, -65.8796799 18.4307435))",,,
125,Building,140,-65.8795939499379,18.4307943999992,"POLYGON ((-65.8796529 18.4308494, -65.8796701 18.4307638, -65.879535 18.4307394, -65.8795178 18.430825, -65.8796529 18.4308494))",,,
126,Building,151,-65.8795797499338,18.43089719999698,"POLYGON ((-65.8796388 18.4309559, -65.8796593 18.4308674, -65.8795207 18.4308385, -65.8795002 18.430927, -65.8796388 18.4309559))",,,
127,Building,148,-65.87955384992998,18.430999800000773,"POLYGON ((-65.8796164 18.4310552, -65.8796329 18.4309688, -65.8794913 18.4309444, -65.8794748 18.4310308, -65.8796164 18.4310552))",,,
128,Building,198,-65.87983382047332,18.43090240438614,"POLYGON ((-65.8798965 18.4309732, -65.8799254 18.4308709, -65.8797712 18.4308316, -65.8797422 18.4309339, -65.8798965 18.4309732))",,,
129,Building,148,-65.87981859995126,18.43101699999218,"POLYGON ((-65.879868 18.4310802, -65.8798955 18.4309875, -65.8797692 18.4309538, -65.8797417 18.4310465, -65.879868 18.4310802))",Other,1960.0,1.0
130,Building,72,-65.87948991558976,18.43121806390327,"POLYGON ((-65.8795327 18.431255, -65.8795414 18.4311907, -65.8794555 18.4311803, -65.879431 18.4312427, -65.8795327 18.431255))",,,
131,Building,115,-65.87945714996782,18.431310349995638,"POLYGON ((-65.879504 18.4313631, -65.8795208 18.4312771, -65.8794103 18.4312576, -65.8793935 18.4313436, -65.879504 18.4313631))",,,
132,Building,117,-65.87943964994403,18.43141130000012,"POLYGON ((-65.8794954 18.4314605, -65.8795102 18.4313841, -65.8793839 18.4313621, -65.8793691 18.4314385, -65.8794954 18.4314605))",,,
133,Building,206,-65.8796940629334,18.431438233846514,"POLYGON ((-65.8797457 18.4315144, -65.8797793 18.4313969, -65.8796464 18.4313589, -65.8796077 18.4314825, -65.8797457 18.4315144))",Other,1985.0,2.0
134,Building,173,-65.87972929150747,18.43128905900857,"POLYGON ((-65.8797973 18.4313528, -65.879818 18.4312647, -65.8796619 18.4312243, -65.8796413 18.4313149, -65.8797973 18.4313528))",Other,1960.0,1.0
135,Building,126,-65.87917499993753,18.43129419999977,"POLYGON ((-65.8792329 18.4313457, -65.8792491 18.4312672, -65.8791171 18.4312427, -65.8791009 18.4313212, -65.8792329 18.4313457))",,,
136,Building,54,-65.87909134998156,18.431560999996577,"POLYGON ((-65.8791239 18.4315974, -65.8791373 18.4315415, -65.8790588 18.4315246, -65.8790454 18.4315805, -65.8791239 18.4315974))",,,
137,Building,52,-65.87944623975746,18.431823063488068,"POLYGON ((-65.8794648 18.4318662, -65.8794835 18.4317881, -65.8794354 18.4317777, -65.8794277 18.4318096, -65.8794171 18.4318073, -65.879406 18.4318535, -65.8794648 18.4318662))",,,
138,Building,49,-65.87991089997507,18.43135049999492,"POLYGON ((-65.8799434 18.4313862, -65.8799591 18.431339, -65.8798784 18.4313148, -65.8798627 18.431362, -65.8799434 18.4313862))",Other,1985.0,2.0
139,Building,176,-65.87996130122535,18.431228032114365,"POLYGON ((-65.8799686 18.4313277, -65.8800311 18.4311532, -65.879954 18.4311284, -65.8798915 18.4313028, -65.8799686 18.4313277))",Other,1960.0,3.0
140,Building,902,-65.87696736691933,18.430646114687253,"POLYGON ((-65.877061 18.4308774, -65.8771495 18.4305492, -65.8767955 18.4304576, -65.8767606 18.4306484, -65.8768599 18.4306612, -65.8769108 18.4305772, -65.8770288 18.4306179, -65.8769913 18.4307578, -65.8769081 18.4307477, -65.8768947 18.4308444, -65.877061 18.4308774))",Other,1960.0,1.0
141,Building,608,-65.87891783065828,18.43254383782406,"POLYGON ((-65.8791615 18.4326883, -65.8786391 18.4324887, -65.8786662 18.4324249, -65.8787205 18.4324457, -65.8787294 18.4324249, -65.8788878 18.4324854, -65.8789012 18.4324538, -65.878997 18.4324904, -65.8789823 18.4325249, -65.879137 18.432584, -65.8791301 18.4326002, -65.8791893 18.4326228, -65.8791615 18.4326883))",,,
142,Building,26,-65.87977042023074,18.431099372881906,"POLYGON ((-65.8798044 18.4311183, -65.8798123 18.4310908, -65.8797384 18.4310783, -65.8797305 18.4311108, -65.8798044 18.4311183))",,,
143,Building,247,-65.87954418916642,18.43111276933708,"POLYGON ((-65.879625 18.4311859, -65.8796514 18.4310883, -65.8794748 18.4310308, -65.8794377 18.4311483, -65.879625 18.4311859))",,,
144,Building,260,-65.87950959614763,18.432541213376293,"POLYGON ((-65.8795775 18.4326199, -65.879625 18.4325173, -65.8794403 18.4324572, -65.8794008 18.4325748, -65.8795775 18.4326199))",Other,1960.0,1.0
145,Building,138,-65.87947492650049,18.432640680135417,"POLYGON ((-65.8793797 18.4326374, -65.8794008 18.4325748, -65.8795722 18.4326474, -65.8795511 18.432705, -65.8793797 18.4326374))",Other,1960.0,1.0
146,Building,117,-65.87897559999585,18.432269899993276,"POLYGON ((-65.8790386 18.4322353, -65.8790034 18.4323337, -65.8789126 18.4323045, -65.8789478 18.4322061, -65.8790386 18.4322353))",,,
147,Building,55,-65.87889156883887,18.432385453152843,"POLYGON ((-65.8789417 18.4323745, -65.8789199 18.4324262, -65.8788414 18.4323964, -65.8788633 18.4323447, -65.8789417 18.4323745))",,,
148,Building,143,-65.87875831882053,18.43235495293998,"POLYGON ((-65.8788402 18.4323382, -65.878807 18.4324197, -65.8786764 18.4323717, -65.8787097 18.4322902, -65.8788402 18.4323382))",,,
149,Building,172,-65.87914480906989,18.4323798337676,"POLYGON ((-65.8791437 18.4324746, -65.8791898 18.4324431, -65.8791736 18.4324217, -65.8792246 18.4323869, -65.8791531 18.4322926, -65.8790631 18.432354, -65.8791115 18.4324178, -65.8791043 18.4324227, -65.8791437 18.4324746))",,,
150,Building,1132,-65.87810610489005,18.4328890466105,"POLYGON ((-65.8783114 18.4329782, -65.8780535 18.4331002, -65.8778997 18.4327995, -65.8781609 18.4326788, -65.8783114 18.4329782))",,,
151,Building,184,-65.87873334121156,18.431004574305437,"POLYGON ((-65.8786448 18.431037, -65.8786666 18.4309406, -65.8788219 18.4309721, -65.8788 18.4310686, -65.8786448 18.431037))",,,
152,Building,1136,-65.87720165182333,18.433944172431026,"POLYGON ((-65.8775594 18.4340207, -65.8775184 18.4338992, -65.8772716 18.4339844, -65.8771214 18.4339195, -65.8770229 18.4336764, -65.8769109 18.4337172, -65.8770179 18.4340027, -65.8772718 18.4341154, -65.8775594 18.4340207))",,,
