% 1-PFA-1-1 1-RMSA-1-1 1-PFD-1-1 1-PID-1-1
12.3454 0.131859 0.0330783 0.00022971
12.2273 0.12949 0.0330571 0.000229563
12.4097 0.132474 0.0340758 0.000236638
12.3521 0.131744 0.0336465 0.000233658
12.5008 0.134091 0.032812 0.000227861
12.4211 0.132039 0.0318754 0.000221358
12.4628 0.133234 0.0331193 0.000229994
12.6273 0.13498 0.032696 0.000227055
12.2087 0.13016 0.0354615 0.000246254
11.944 0.12412 0.0326387 0.000226658
12.4263 0.133222 0.0330942 0.000229821
12.4465 0.133641 0.0343064 0.00023824
12.0613 0.127334 0.0333297 0.000231456
12.3693 0.132116 0.0334815 0.00023251
12.523 0.134245 0.0336214 0.000233482
12.1572 0.129329 0.0333708 0.000231741
11.8322 0.123138 0.0332103 0.000230627
12.1122 0.127459 0.0326503 0.000226738
12.3626 0.131595 0.0334549 0.000232328
12.5727 0.135061 0.0318877 0.000221441
12.3964 0.132555 0.0329983 0.000229155
11.8865 0.125054 0.0343045 0.000238227
12.3034 0.130548 0.0335667 0.000233103
12.2975 0.131208 0.0347928 0.000241618
12.3031 0.13069 0.0335955 0.000233301
11.6025 0.120528 0.0337968 0.0002347
12.0773 0.127441 0.0333757 0.000231776
12.4573 0.133851 0.034876 0.000242195
11.8859 0.123589 0.0335722 0.000233139
11.7175 0.122161 0.0336614 0.000233759
12.4738 0.132576 0.0327889 0.000227701
12.3904 0.132137 0.0337733 0.000234537
12.1389 0.128478 0.0347385 0.00024124
11.3392 0.115792 0.0334722 0.000232446
12.0407 0.127624 0.034111 0.000236882
12.39 0.132577 0.0340082 0.000236168
12.3849 0.131063 0.0336044 0.000233365
12.0783 0.127548 0.0338402 0.000235001
12.2987 0.130864 0.0331412 0.000230147
12.2133 0.129997 0.0354 0.000245835
12.1793 0.129184 0.0331734 0.00023037
11.8844 0.12354 0.0332406 0.000230837
11.9069 0.125174 0.0341855 0.0002374
12.4373 0.132505 0.0338411 0.000235008
12.2673 0.130535 0.0338299 0.000234933
12.5897 0.133606 0.0325828 0.00022627
12.251 0.130755 0.0353574 0.000245541
12.2108 0.13013 0.0349972 0.000243028
12.5228 0.133579 0.0328452 0.000228092
12.2617 0.130285 0.0327825 0.000227659
12.3343 0.131025 0.0318839 0.000221416
12.4598 0.133591 0.0341833 0.000237386
12.1886 0.128653 0.0318227 0.000220991
11.6183 0.120422 0.0339414 0.000235704
12.2931 0.130374 0.0325238 0.00022586
12.5652 0.134962 0.0337006 0.000234032
12.5895 0.134717 0.0333864 0.00023185
12.6068 0.136171 0.0323397 0.000224582
12.242 0.129376 0.0336679 0.000233805
12.4478 0.133226 0.0343867 0.000238797
12.316 0.13086 0.0335964 0.000233308
12.4407 0.132601 0.0328281 0.000227973
12.2771 0.129823 0.0323589 0.000224714
12.2381 0.129649 0.0318856 0.000221428
12.2457 0.129471 0.0314281 0.00021826
12.2724 0.130147 0.0334748 0.000232466
12.0237 0.125263 0.0318469 0.00022116
12.317 0.131003 0.034377 0.000238729
12.5299 0.134692 0.0341241 0.000236973
12.444 0.132616 0.0336832 0.000233912
12.6479 0.136314 0.0329954 0.000229135
12.4382 0.132467 0.0335814 0.000233205
12.4942 0.133958 0.0330877 0.000229776
12.3411 0.131235 0.0330942 0.000229823
12.5381 0.135069 0.0345552 0.000239968
12.1868 0.128106 0.0327881 0.000227696
12.2398 0.130274 0.0350362 0.00024331
12.2197 0.129604 0.0333963 0.000231919
11.9043 0.125582 0.0345876 0.000240191
12.3477 0.132087 0.0341231 0.000236966
11.7823 0.123464 0.0341418 0.000237096
12.2099 0.129358 0.0331123 0.000229947
12.2915 0.13006 0.0331119 0.000229944
12.1831 0.128189 0.0321225 0.000223071
12.214 0.129049 0.0324097 0.000225065
12.3848 0.131559 0.0314922 0.000218698
12.216 0.129956 0.0352335 0.000244679
12.2712 0.130285 0.0328172 0.000227898
11.9171 0.123762 0.0334124 0.00023203
12.1945 0.129273 0.0335738 0.000233153
12.0979 0.128075 0.0337617 0.000234456
12.0483 0.127394 0.0344429 0.000239188
12.6577 0.135933 0.0329768 0.000229005
12.3744 0.131359 0.0321674 0.000223386
12.55 0.13397 0.0329277 0.000228665
12.2583 0.129845 0.0327867 0.000227681
12.199 0.128628 0.0335652 0.000233092
12.0124 0.125761 0.0327446 0.000227394
12.3642 0.130998 0.0337023 0.000234044
11.8902 0.124266 0.033138 0.000230123
11.8535 0.124628 0.0340446 0.000236422
12.3324 0.131528 0.0333907 0.00023188
12.2779 0.130397 0.0339022 0.000235438
12.5313 0.134942 0.0338781 0.000235265
11.7308 0.123124 0.0340245 0.000236281
12.3192 0.130838 0.0323314 0.000224524
12.6987 0.134795 0.0332805 0.000231115
12.2504 0.129642 0.0321723 0.000223419
12.2143 0.130066 0.0353995 0.000245832
12.2215 0.129378 0.0329054 0.00022851
12.5095 0.133751 0.0334728 0.00023245
12.2201 0.129361 0.0328312 0.000227995
12.045 0.127887 0.0333618 0.000231679
11.881 0.124496 0.033528 0.000232833
12.0333 0.12736 0.0344101 0.000238959
12.3474 0.131612 0.0334404 0.00023223
12.1604 0.12936 0.0359528 0.000249625
12.2314 0.129566 0.0328645 0.000228226
12.2453 0.12942 0.032118 0.000223043
12.3736 0.131768 0.0329538 0.000228847
12.3151 0.131214 0.033903 0.000235438
12.3862 0.13226 0.0342203 0.00023764
12.3062 0.130205 0.0316896 0.000220063
12.3233 0.130542 0.0319413 0.000221813
11.85 0.125349 0.0340445 0.00023642
12.3342 0.131996 0.0335662 0.000233098
