# Force bins  
# bins        : 3
# start       : 4.263142e-03
# end         : 5.000496e-01
# delta       : 1.652621e-01
# direction   : (0.000000e+00 0.000000e+00 1.000000e+00)
# x co-ords  :	0.000000e+00	0.000000e+00	0.000000e+00
# y co-ords  :	0.000000e+00	0.000000e+00	0.000000e+00
# z co-ords  :	1.695253e-01	3.347874e-01	5.000496e-01
#
# Time        	0:(total_x total_y total_z)	0:(pressure_x pressure_y pressure_z)	0:(viscous_x viscous_y viscous_z)	1:(total_x total_y total_z)	1:(pressure_x pressure_y pressure_z)	1:(viscous_x viscous_y viscous_z)	2:(total_x total_y total_z)	2:(pressure_x pressure_y pressure_z)	2:(viscous_x viscous_y viscous_z)
0.05          	(-1.251661e-04 1.835325e-05 -8.203522e-01)	(-1.252160e-04 1.830617e-05 -8.203430e-01)	(4.984116e-08 4.708170e-08 -9.142142e-06)	(-1.592794e-04 -5.276295e-05 6.919269e-03)	(-1.658900e-04 -3.687631e-05 8.145711e-03)	(6.610561e-06 -1.588664e-05 -1.226442e-03)	(5.307439e-05 7.487219e-06 3.855552e-02)	(3.292645e-06 5.768449e-06 3.866545e-02)	(4.978174e-05 1.718769e-06 -1.099329e-04)
0.055         	(1.282490e-04 2.723821e-05 -8.203297e-01)	(1.281383e-04 2.716359e-05 -8.203173e-01)	(1.107296e-07 7.461977e-08 -1.237068e-05)	(-1.766328e-04 3.849256e-04 5.745865e-03)	(-1.761017e-04 3.687504e-04 8.749717e-03)	(-5.310595e-07 1.617523e-05 -3.003852e-03)	(6.914782e-05 8.201122e-06 3.859179e-02)	(6.850288e-06 2.716209e-06 3.866287e-02)	(6.229753e-05 5.484913e-06 -7.107874e-05)
0.055         	(1.282490e-04 2.723821e-05 -8.203297e-01)	(1.281383e-04 2.716359e-05 -8.203173e-01)	(1.107296e-07 7.461977e-08 -1.237068e-05)	(-1.766328e-04 3.849256e-04 5.745865e-03)	(-1.761017e-04 3.687504e-04 8.749717e-03)	(-5.310595e-07 1.617523e-05 -3.003852e-03)	(6.914782e-05 8.201122e-06 3.859179e-02)	(6.850288e-06 2.716209e-06 3.866287e-02)	(6.229753e-05 5.484913e-06 -7.107874e-05)
0.06          	(1.195856e-04 -2.658946e-04 -8.203429e-01)	(1.194857e-04 -2.658980e-04 -8.203304e-01)	(9.985827e-08 3.413408e-09 -1.246943e-05)	(1.490053e-04 -3.758048e-04 5.327362e-03)	(1.325157e-04 -3.861492e-04 8.512370e-03)	(1.648960e-05 1.034436e-05 -3.185008e-03)	(7.196660e-05 -6.948098e-06 3.864277e-02)	(4.112625e-06 -5.086929e-06 3.866492e-02)	(6.785398e-05 -1.861169e-06 -2.214760e-05)
0.06          	(1.195856e-04 -2.658946e-04 -8.203429e-01)	(1.194857e-04 -2.658980e-04 -8.203304e-01)	(9.985827e-08 3.413408e-09 -1.246943e-05)	(1.490053e-04 -3.758048e-04 5.327362e-03)	(1.325157e-04 -3.861492e-04 8.512370e-03)	(1.648960e-05 1.034436e-05 -3.185008e-03)	(7.196660e-05 -6.948098e-06 3.864277e-02)	(4.112625e-06 -5.086929e-06 3.866492e-02)	(6.785398e-05 -1.861169e-06 -2.214760e-05)
0.065         	(-3.051733e-05 3.174546e-04 -8.203458e-01)	(-3.056905e-05 3.172991e-04 -8.203379e-01)	(5.171401e-08 1.555034e-07 -7.876682e-06)	(9.291402e-05 -4.947307e-05 5.492946e-03)	(7.426140e-05 -7.085059e-05 8.454872e-03)	(1.865262e-05 2.137752e-05 -2.961926e-03)	(7.039813e-05 -8.245593e-07 3.867228e-02)	(1.962470e-06 3.998896e-07 3.866813e-02)	(6.843566e-05 -1.224449e-06 4.158780e-06)
0.065         	(-3.051733e-05 3.174546e-04 -8.203458e-01)	(-3.056905e-05 3.172991e-04 -8.203379e-01)	(5.171401e-08 1.555034e-07 -7.876682e-06)	(9.291402e-05 -4.947307e-05 5.492946e-03)	(7.426140e-05 -7.085059e-05 8.454872e-03)	(1.865262e-05 2.137752e-05 -2.961926e-03)	(7.039813e-05 -8.245593e-07 3.867228e-02)	(1.962470e-06 3.998896e-07 3.866813e-02)	(6.843566e-05 -1.224449e-06 4.158780e-06)
0.07          	(3.575957e-05 -1.660342e-04 -8.203340e-01)	(3.568447e-05 -1.660424e-04 -8.203291e-01)	(7.509514e-08 8.232319e-09 -4.875315e-06)	(-2.690697e-05 -3.062539e-04 6.534435e-03)	(-2.984259e-05 -2.662652e-04 8.137817e-03)	(2.935627e-06 -3.998869e-05 -1.603382e-03)	(7.461619e-05 7.287149e-06 3.870308e-02)	(3.026871e-06 3.484179e-06 3.866636e-02)	(7.158932e-05 3.802970e-06 3.672550e-05)
0.07          	(3.575957e-05 -1.660342e-04 -8.203340e-01)	(3.568447e-05 -1.660424e-04 -8.203291e-01)	(7.509514e-08 8.232319e-09 -4.875315e-06)	(-2.690697e-05 -3.062539e-04 6.534435e-03)	(-2.984259e-05 -2.662652e-04 8.137817e-03)	(2.935627e-06 -3.998869e-05 -1.603382e-03)	(7.461619e-05 7.287149e-06 3.870308e-02)	(3.026871e-06 3.484179e-06 3.866636e-02)	(7.158932e-05 3.802970e-06 3.672550e-05)
0.075         	(6.135548e-05 7.948559e-05 -8.203297e-01)	(6.127555e-05 7.942630e-05 -8.203233e-01)	(7.993266e-08 5.928956e-08 -6.404618e-06)	(-2.092771e-04 5.347017e-04 6.070210e-03)	(-2.105013e-04 5.377898e-04 8.644846e-03)	(1.224200e-06 -3.088047e-06 -2.574636e-03)	(9.032429e-05 -1.475265e-06 3.869828e-02)	(6.942991e-06 -2.088497e-06 3.866202e-02)	(8.338130e-05 6.132327e-07 3.625735e-05)
0.075         	(6.135548e-05 7.948559e-05 -8.203297e-01)	(6.127555e-05 7.942630e-05 -8.203233e-01)	(7.993266e-08 5.928956e-08 -6.404618e-06)	(-2.092771e-04 5.347017e-04 6.070210e-03)	(-2.105013e-04 5.377898e-04 8.644846e-03)	(1.224200e-06 -3.088047e-06 -2.574636e-03)	(9.032429e-05 -1.475265e-06 3.869828e-02)	(6.942991e-06 -2.088497e-06 3.866202e-02)	(8.338130e-05 6.132327e-07 3.625735e-05)
0.08          	(1.511539e-04 -2.586211e-04 -8.203378e-01)	(1.509935e-04 -2.585803e-04 -8.203295e-01)	(1.604058e-07 -4.079788e-08 -8.284853e-06)	(1.914911e-04 -3.706485e-04 5.677380e-03)	(1.694722e-04 -3.572749e-04 8.491105e-03)	(2.201892e-05 -1.337365e-05 -2.813725e-03)	(9.505721e-05 -1.557043e-06 3.869074e-02)	(5.010942e-06 -9.317321e-07 3.865977e-02)	(9.004627e-05 -6.253108e-07 3.097089e-05)
0.08          	(1.511539e-04 -2.586211e-04 -8.203378e-01)	(1.509935e-04 -2.585803e-04 -8.203295e-01)	(1.604058e-07 -4.079788e-08 -8.284853e-06)	(1.914911e-04 -3.706485e-04 5.677380e-03)	(1.694722e-04 -3.572749e-04 8.491105e-03)	(2.201892e-05 -1.337365e-05 -2.813725e-03)	(9.505721e-05 -1.557043e-06 3.869074e-02)	(5.010942e-06 -9.317321e-07 3.865977e-02)	(9.004627e-05 -6.253108e-07 3.097089e-05)
0.085         	(9.936234e-05 4.513171e-05 -8.203351e-01)	(9.917197e-05 4.518234e-05 -8.203275e-01)	(1.903632e-07 -5.063552e-08 -7.593807e-06)	(1.201059e-04 -3.502475e-04 5.713840e-03)	(9.251569e-05 -3.367427e-04 8.395859e-03)	(2.759023e-05 -1.350475e-05 -2.682019e-03)	(9.635040e-05 2.601712e-06 3.866251e-02)	(3.389382e-06 1.288830e-06 3.866341e-02)	(9.296102e-05 1.312882e-06 -8.949780e-07)
0.085         	(9.936234e-05 4.513171e-05 -8.203351e-01)	(9.917197e-05 4.518234e-05 -8.203275e-01)	(1.903632e-07 -5.063552e-08 -7.593807e-06)	(1.201059e-04 -3.502475e-04 5.713840e-03)	(9.251569e-05 -3.367427e-04 8.395859e-03)	(2.759023e-05 -1.350475e-05 -2.682019e-03)	(9.635040e-05 2.601712e-06 3.866251e-02)	(3.389382e-06 1.288830e-06 3.866341e-02)	(9.296102e-05 1.312882e-06 -8.949780e-07)
0.09          	(7.340233e-05 3.479399e-05 -8.203316e-01)	(7.319771e-05 3.481715e-05 -8.203252e-01)	(2.046219e-07 -2.315394e-08 -6.349634e-06)	(1.049635e-04 -1.869498e-04 6.836341e-03)	(7.231826e-05 -1.109117e-04 8.061563e-03)	(3.264521e-05 -7.603810e-05 -1.225222e-03)	(1.061295e-04 2.144947e-06 3.863945e-02)	(5.559498e-06 3.411310e-07 3.866192e-02)	(1.005700e-04 1.803816e-06 -2.246720e-05)
0.09          	(7.340233e-05 3.479399e-05 -8.203316e-01)	(7.319771e-05 3.481715e-05 -8.203252e-01)	(2.046219e-07 -2.315394e-08 -6.349634e-06)	(1.049635e-04 -1.869498e-04 6.836341e-03)	(7.231826e-05 -1.109117e-04 8.061563e-03)	(3.264521e-05 -7.603810e-05 -1.225222e-03)	(1.061295e-04 2.144947e-06 3.863945e-02)	(5.559498e-06 3.411310e-07 3.866192e-02)	(1.005700e-04 1.803816e-06 -2.246720e-05)
0.09          	(7.340233e-05 3.479399e-05 -8.203316e-01)	(7.319771e-05 3.481715e-05 -8.203252e-01)	(2.046219e-07 -2.315394e-08 -6.349634e-06)	(1.049635e-04 -1.869498e-04 6.836341e-03)	(7.231826e-05 -1.109117e-04 8.061563e-03)	(3.264521e-05 -7.603810e-05 -1.225222e-03)	(1.061295e-04 2.144947e-06 3.863945e-02)	(5.559498e-06 3.411310e-07 3.866192e-02)	(1.005700e-04 1.803816e-06 -2.246720e-05)
0.095         	(1.086214e-05 9.750157e-05 -8.203260e-01)	(1.068560e-05 9.749475e-05 -8.203186e-01)	(1.765430e-07 6.818888e-09 -7.449582e-06)	(-1.516841e-04 3.317041e-04 6.461484e-03)	(-1.598769e-04 3.492474e-04 8.612898e-03)	(8.192776e-06 -1.754332e-05 -2.151414e-03)	(1.126207e-04 -1.872104e-07 3.859574e-02)	(5.385506e-06 -8.387565e-07 3.866077e-02)	(1.072352e-04 6.515461e-07 -6.503460e-05)
0.095         	(1.086214e-05 9.750157e-05 -8.203260e-01)	(1.068560e-05 9.749475e-05 -8.203186e-01)	(1.765430e-07 6.818888e-09 -7.449582e-06)	(-1.516841e-04 3.317041e-04 6.461484e-03)	(-1.598769e-04 3.492474e-04 8.612898e-03)	(8.192776e-06 -1.754332e-05 -2.151414e-03)	(1.126207e-04 -1.872104e-07 3.859574e-02)	(5.385506e-06 -8.387565e-07 3.866077e-02)	(1.072352e-04 6.515461e-07 -6.503460e-05)
0.095         	(1.086214e-05 9.750157e-05 -8.203260e-01)	(1.068560e-05 9.749475e-05 -8.203186e-01)	(1.765430e-07 6.818888e-09 -7.449582e-06)	(-1.516841e-04 3.317041e-04 6.461484e-03)	(-1.598769e-04 3.492474e-04 8.612898e-03)	(8.192776e-06 -1.754332e-05 -2.151414e-03)	(1.126207e-04 -1.872104e-07 3.859574e-02)	(5.385506e-06 -8.387565e-07 3.866077e-02)	(1.072352e-04 6.515461e-07 -6.503460e-05)
0.1           	(6.384227e-05 -7.187873e-05 -8.203387e-01)	(6.369096e-05 -7.189604e-05 -8.203276e-01)	(1.513186e-07 1.731051e-08 -1.107304e-05)	(1.252970e-04 -1.437148e-04 5.969976e-03)	(1.177225e-04 -1.344351e-04 8.424463e-03)	(7.574470e-06 -9.279658e-06 -2.454487e-03)	(1.179948e-04 3.583912e-07 3.854979e-02)	(5.028591e-06 -1.765855e-07 3.865811e-02)	(1.129662e-04 5.349767e-07 -1.083175e-04)
0.1           	(6.384227e-05 -7.187873e-05 -8.203387e-01)	(6.369096e-05 -7.189604e-05 -8.203276e-01)	(1.513186e-07 1.731051e-08 -1.107304e-05)	(1.252970e-04 -1.437148e-04 5.969976e-03)	(1.177225e-04 -1.344351e-04 8.424463e-03)	(7.574470e-06 -9.279658e-06 -2.454487e-03)	(1.179948e-04 3.583912e-07 3.854979e-02)	(5.028591e-06 -1.765855e-07 3.865811e-02)	(1.129662e-04 5.349767e-07 -1.083175e-04)
