# Moment bins 
# bins        : 3
# start       : 4.262203e-03
# end         : 5.000496e-01
# delta       : 1.652625e-01
# direction   : (0.000000e+00 0.000000e+00 1.000000e+00)
# x co-ords  :	0.000000e+00	0.000000e+00	0.000000e+00
# y co-ords  :	0.000000e+00	0.000000e+00	0.000000e+00
# z co-ords  :	1.695247e-01	3.347871e-01	5.000496e-01
#
# Time        	0:(total_x total_y total_z)	0:(pressure_x pressure_y pressure_z)	0:(viscous_x viscous_y viscous_z)	1:(total_x total_y total_z)	1:(pressure_x pressure_y pressure_z)	1:(viscous_x viscous_y viscous_z)	2:(total_x total_y total_z)	2:(pressure_x pressure_y pressure_z)	2:(viscous_x viscous_y viscous_z)
0.025         	(1.022084e-05 -2.587053e-05 -1.727196e-08)	(1.021762e-05 -2.585904e-05 -1.361407e-08)	(3.227587e-09 -1.148326e-08 -3.657888e-09)	(8.840071e-07 -2.868000e-07 -1.735678e-09)	(8.677998e-07 -1.246092e-06 -9.532398e-09)	(1.620731e-08 9.592921e-07 7.796720e-09)	(-1.516673e-08 5.288647e-06 -2.733663e-08)	(-3.986559e-09 4.571384e-07 -5.130515e-11)	(-1.118017e-08 4.831509e-06 -2.728533e-08)
0.0275        	(-1.205930e-05 -1.848052e-05 9.184816e-09)	(-1.205574e-05 -1.847104e-05 8.801658e-09)	(-3.560189e-09 -9.477337e-09 3.831573e-10)	(-8.900705e-07 6.267095e-07 3.607572e-08)	(-9.003826e-07 -3.855208e-07 4.332722e-09)	(1.031214e-08 1.012230e-06 3.174300e-08)	(-2.584099e-08 5.970415e-06 1.253445e-08)	(-7.236707e-09 5.635465e-07 1.829054e-11)	(-1.860428e-08 5.406869e-06 1.251616e-08)
0.0275        	(-1.205930e-05 -1.848052e-05 9.184816e-09)	(-1.205574e-05 -1.847104e-05 8.801658e-09)	(-3.560189e-09 -9.477337e-09 3.831573e-10)	(-8.900705e-07 6.267095e-07 3.607572e-08)	(-9.003826e-07 -3.855208e-07 4.332722e-09)	(1.031214e-08 1.012230e-06 3.174300e-08)	(-2.584099e-08 5.970415e-06 1.253445e-08)	(-7.236707e-09 5.635465e-07 1.829054e-11)	(-1.860428e-08 5.406869e-06 1.251616e-08)
0.03          	(1.462321e-05 -2.808316e-05 -8.368368e-09)	(1.461891e-05 -2.806972e-05 -6.745320e-09)	(4.307131e-09 -1.343706e-08 -1.623048e-09)	(1.232593e-06 -5.302437e-07 5.268801e-09)	(1.205771e-06 -1.626530e-06 -1.218841e-08)	(2.682203e-08 1.096286e-06 1.745721e-08)	(-2.308061e-08 6.565424e-06 -1.221153e-08)	(-2.481458e-09 5.775154e-07 2.124020e-11)	(-2.059916e-08 5.987908e-06 -1.223277e-08)
0.03          	(1.462321e-05 -2.808316e-05 -8.368368e-09)	(1.461891e-05 -2.806972e-05 -6.745320e-09)	(4.307131e-09 -1.343706e-08 -1.623048e-09)	(1.232593e-06 -5.302437e-07 5.268801e-09)	(1.205771e-06 -1.626530e-06 -1.218841e-08)	(2.682203e-08 1.096286e-06 1.745721e-08)	(-2.308061e-08 6.565424e-06 -1.221153e-08)	(-2.481458e-09 5.775154e-07 2.124020e-11)	(-2.059916e-08 5.987908e-06 -1.223277e-08)
0.0325        	(-1.486408e-05 -2.182747e-05 -1.747918e-09)	(-1.486041e-05 -2.181373e-05 -3.637196e-12)	(-3.663721e-09 -1.373637e-08 -1.744281e-09)	(-1.167610e-06 4.229694e-07 1.616561e-08)	(-1.178061e-06 -7.268419e-07 3.392600e-09)	(1.045154e-08 1.149811e-06 1.277301e-08)	(-1.147153e-08 7.121828e-06 -8.040012e-09)	(5.459301e-09 5.774796e-07 -2.259091e-11)	(-1.693083e-08 6.544349e-06 -8.017421e-09)
0.0325        	(-1.486408e-05 -2.182747e-05 -1.747918e-09)	(-1.486041e-05 -2.181373e-05 -3.637196e-12)	(-3.663721e-09 -1.373637e-08 -1.744281e-09)	(-1.167610e-06 4.229694e-07 1.616561e-08)	(-1.178061e-06 -7.268419e-07 3.392600e-09)	(1.045154e-08 1.149811e-06 1.277301e-08)	(-1.147153e-08 7.121828e-06 -8.040012e-09)	(5.459301e-09 5.774796e-07 -2.259091e-11)	(-1.693083e-08 6.544349e-06 -8.017421e-09)
0.035         	(1.573696e-05 -2.963952e-05 9.373758e-09)	(1.573235e-05 -2.962187e-05 8.371087e-09)	(4.606707e-09 -1.764495e-08 1.002671e-09)	(1.143213e-06 -1.684745e-07 3.400418e-08)	(1.127768e-06 -1.365858e-06 9.397995e-09)	(1.544495e-08 1.197384e-06 2.460618e-08)	(-2.162259e-08 7.680123e-06 1.405443e-08)	(-2.213002e-09 5.885348e-07 1.861435e-11)	(-1.940959e-08 7.091589e-06 1.403581e-08)
0.035         	(1.573696e-05 -2.963952e-05 9.373758e-09)	(1.573235e-05 -2.962187e-05 8.371087e-09)	(4.606707e-09 -1.764495e-08 1.002671e-09)	(1.143213e-06 -1.684745e-07 3.400418e-08)	(1.127768e-06 -1.365858e-06 9.397995e-09)	(1.544495e-08 1.197384e-06 2.460618e-08)	(-2.162259e-08 7.680123e-06 1.405443e-08)	(-2.213002e-09 5.885348e-07 1.861435e-11)	(-1.940959e-08 7.091589e-06 1.403581e-08)
0.0375        	(-1.793743e-05 -2.370490e-05 -1.959302e-08)	(-1.793283e-05 -2.368607e-05 -1.574186e-08)	(-4.592204e-09 -1.883017e-08 -3.851167e-09)	(-1.149442e-06 4.464390e-07 -1.724647e-08)	(-1.164301e-06 -8.063791e-07 -1.490580e-08)	(1.485895e-08 1.252818e-06 -2.340667e-09)	(-1.430340e-08 8.217569e-06 -3.078260e-08)	(2.938346e-09 5.870435e-07 -2.479888e-11)	(-1.724175e-08 7.630526e-06 -3.075780e-08)
