Run #, bx, kx, w, fx, ky, fy, 1-PFA-1-1, 1-RMSA-1-1, 1-PFD-1-1, 1-PID-1-1, 1-PFA-2-1, 1-RMSA-2-1, 1-PFD-2-1, 1-PID-2-1, 1-PFA-3-1, 1-RMSA-3-1, 1-PFD-3-1, 1-PID-3-1, 1-PFA-4-1, 1-RMSA-4-1, 1-PFD-4-1, 1-PID-4-1, 1-PFA-5-1, 1-RMSA-5-1, 1-PFD-5-1, 1-PID-5-1, 1-PFA-6-1, 1-RMSA-6-1, 1-PFD-6-1, 1-PID-6-1, 1-PFA-7-1, 1-RMSA-7-1, 1-PFD-7-1, 1-PID-7-1, 1-PFA-8-1, 1-RMSA-8-1, 1-PFD-8-1, 1-PID-8-1, 1-PFA-9-1, 1-RMSA-9-1, 1-PFD-9-1, 1-PID-9-1
272, 0.238328, 139.788, 1067.47, 4.26074, 110.278, 14.0666, 2.40616, 0.120198, 0.231648, 0.00160867, 0.352516, 0.108749, 0.252931, 0.000156169, 0.291475, 0.113327, 0.26997, 0.000148425, 0.289547, 0.104602, 0.281853, 0.000128094, 0.329193, 0.100125, 0.288137, 0.000132085, 0.312098, 0.0968872, 0.296605, 0.000138762, 0.310303, 0.104671, 0.315151, 0.00013771, 0.349878, 0.112655, 0.331684, 0.000115297, 0.489577, 0.136494, 0.341365, 6.726e-05
273, 0.1626, 126.462, 1087.83, 9.91893, 107.472, 13.9928, 2.54612, 0.0426052, 0.0766258, 0.000532123, 0.142378, 0.0320712, 0.0872759, 7.94465e-05, 0.130938, 0.0340785, 0.0961483, 8.08823e-05, 0.134011, 0.0354082, 0.104877, 7.42084e-05, 0.116387, 0.0365582, 0.113528, 7.09505e-05, 0.128462, 0.0377099, 0.121126, 6.51776e-05, 0.132299, 0.0390179, 0.126933, 5.7147e-05, 0.143387, 0.0413794, 0.130914, 4.72196e-05, 0.179344, 0.0471898, 0.133421, 2.78784e-05
274, 0.13399, 151.968, 904.781, 8.80805, 122.643, 10.8437, 3.05794, 0.0449766, 0.0694403, 0.000482224, 0.142104, 0.0239951, 0.0752757, 4.90609e-05, 0.130676, 0.0228492, 0.0808459, 4.46201e-05, 0.122446, 0.0239263, 0.0856881, 4.1892e-05, 0.116157, 0.0262961, 0.090514, 3.43378e-05, 0.110962, 0.0281403, 0.0945, 2.95595e-05, 0.121335, 0.0270354, 0.0974865, 2.95813e-05, 0.113546, 0.0285207, 0.100554, 2.81614e-05, 0.179025, 0.0319567, 0.102387, 1.92612e-05
275, 0.187417, 91.3763, 1000.75, 7.49255, 101.627, 17.3866, 2.78191, 0.192095, 0.254832, 0.00176967, 0.5064, 0.21167, 0.276823, 0.000297166, 0.487443, 0.207297, 0.311652, 0.00025514, 0.418805, 0.172501, 0.340544, 0.000203704, 0.516069, 0.160335, 0.358142, 0.000200829, 0.43515, 0.134372, 0.365637, 0.000240261, 0.455481, 0.15143, 0.366586, 0.000230815, 0.447518, 0.180518, 0.390796, 0.000183947, 0.567019, 0.233902, 0.404906, 0.000111532
276, 0.287377, 106.91, 1088.22, 8.5972, 101.562, 16.4916, 2.46184, 0.0658764, 0.105812, 0.000734808, 0.154999, 0.0530505, 0.114746, 0.000106196, 0.181035, 0.0523632, 0.124766, 9.72153e-05, 0.170565, 0.057293, 0.134115, 9.58054e-05, 0.155915, 0.0536329, 0.142783, 8.42218e-05, 0.158533, 0.0517757, 0.148903, 7.76781e-05, 0.17517, 0.0567845, 0.153739, 6.54884e-05, 0.146394, 0.0487545, 0.156511, 5.30075e-05, 0.20574, 0.0667846, 0.158292, 3.79086e-05
277, 0.2623, 85.6484, 963.699, 9.9908, 112.836, 11.4254, 2.86346, 0.0529538, 0.116499, 0.000809021, 0.184426, 0.0437223, 0.135105, 0.00014323, 0.169614, 0.0481339, 0.152868, 0.000144663, 0.171423, 0.050893, 0.170408, 0.000130658, 0.163937, 0.0519285, 0.187253, 0.00012309, 0.158347, 0.0533552, 0.201856, 0.000110524, 0.173672, 0.0565141, 0.213671, 9.4556e-05, 0.183926, 0.0596237, 0.222166, 7.68641e-05, 0.232357, 0.0665425, 0.226346, 4.72821e-05
278, 0.179201, 58.9878, 1040.91, 7.93103, 108.499, 13.0128, 2.33559, 0.233807, 0.630872, 0.00438106, 0.613591, 0.226772, 0.72379, 0.000704137, 0.595598, 0.22028, 0.79572, 0.000752853, 0.649131, 0.221351, 0.869894, 0.000776441, 0.641744, 0.232277, 0.961561, 0.000701, 0.67856, 0.244339, 1.03696, 0.000614675, 0.863855, 0.236644, 1.09736, 0.000501818, 0.651041, 0.217061, 1.14826, 0.000420705, 0.974578, 0.289386, 1.18039, 0.000309038
279, 0.203653, 74.4959, 1085.94, 7.80381, 97.5609, 14.8328, 2.85755, 0.181668, 0.310924, 0.00215919, 0.423488, 0.145892, 0.343701, 0.000312857, 0.453946, 0.172535, 0.374473, 0.000328886, 0.408839, 0.147987, 0.391544, 0.000303356, 0.470418, 0.17814, 0.429111, 0.000340243, 0.428849, 0.141143, 0.46039, 0.000244473, 0.470839, 0.167085, 0.478453, 0.000259284, 0.413319, 0.146382, 0.496475, 0.000193091, 0.483352, 0.192689, 0.506186, 0.000127034
280, 0.206128, 135.857, 945.476, 8.31185, 123.107, 16.1461, 2.87942, 0.0558717, 0.0875094, 0.000607704, 0.147088, 0.0478551, 0.0947264, 6.17885e-05, 0.15444, 0.0519983, 0.10156, 5.55894e-05, 0.143653, 0.0502427, 0.108085, 5.34825e-05, 0.130708, 0.0446918, 0.11361, 5.53671e-05, 0.15962, 0.0399914, 0.118367, 5.8736e-05, 0.144142, 0.0407656, 0.121351, 5.07671e-05, 0.143115, 0.0459559, 0.122919, 3.60379e-05, 0.199446, 0.0593436, 0.124552, 2.50221e-05
281, 0.168154, 102.067, 997.675, 5.37087, 113.823, 15.3364, 2.7096, 0.317656, 0.550406, 0.00382227, 1.03224, 0.332329, 0.629455, 0.000604039, 0.89123, 0.300906, 0.664308, 0.00034199, 0.636483, 0.259107, 0.680414, 0.000346338, 0.808036, 0.245726, 0.689274, 0.000355088, 0.648274, 0.239321, 0.696806, 0.000318757, 0.634125, 0.234816, 0.712191, 0.000342104, 0.755799, 0.284667, 0.719892, 0.000290164, 1.10958, 0.364928, 0.723287, 0.00019425
